type,release_year,year_added,genre_count,desc_length,duration
0,2020,2021.0,1,152,90.0
1,2021,2021.0,3,147,2.0
1,2021,2021.0,3,146,1.0
1,2021,2021.0,2,147,1.0
1,2021,2021.0,3,152,2.0
1,2021,2021.0,3,152,1.0
0,2021,2021.0,1,153,91.0
0,1993,2021.0,3,151,125.0
1,2021,2021.0,2,144,9.0
0,2021,2021.0,2,151,104.0
1,2021,2021.0,3,152,1.0
1,2021,2021.0,3,131,1.0
0,2021,2021.0,2,141,127.0
0,2021,2021.0,2,147,91.0
1,2021,2021.0,3,150,1.0
1,2021,2021.0,2,148,4.0
0,2020,2021.0,2,150,67.0
1,2020,2021.0,3,147,2.0
0,2021,2021.0,1,149,94.0
1,2021,2021.0,3,138,1.0
1,2021,2021.0,3,148,1.0
1,2018,2021.0,3,147,5.0
0,1996,2021.0,2,152,161.0
0,2021,2021.0,1,151,61.0
0,1998,2021.0,3,148,166.0
1,2021,2021.0,3,147,2.0
0,1997,2021.0,3,150,147.0
0,2010,2021.0,1,150,103.0
0,2013,2021.0,2,143,97.0
0,2013,2021.0,1,121,106.0
0,2021,2021.0,3,151,111.0
1,2021,2021.0,1,138,1.0
1,2020,2021.0,3,144,3.0
1,2021,2021.0,3,152,1.0
1,2020,2021.0,1,131,1.0
0,2021,2021.0,3,152,110.0
0,2021,2021.0,3,147,105.0
1,2018,2021.0,2,140,1.0
0,2017,2021.0,2,150,96.0
1,2021,2021.0,1,146,3.0
1,2021,2021.0,2,152,1.0
0,1975,2021.0,3,149,124.0
0,1978,2021.0,3,137,116.0
0,1983,2021.0,3,153,98.0
0,1987,2021.0,3,149,91.0
0,2021,2021.0,1,153,23.0
0,2012,2021.0,1,149,115.0
1,2020,2021.0,3,148,1.0
0,2001,2021.0,2,149,122.0
1,2021,2021.0,2,152,2.0
1,2014,2021.0,3,126,1.0
0,2002,2021.0,3,150,99.0
0,2003,2021.0,3,149,99.0
0,2004,2021.0,3,146,88.0
0,2001,2021.0,3,128,100.0
1,2021,2021.0,1,151,6.0
0,2011,2021.0,3,142,102.0
0,2008,2021.0,3,144,93.0
0,2009,2021.0,3,133,96.0
0,2007,2021.0,3,143,95.0
0,2010,2021.0,3,147,85.0
0,2005,2021.0,3,133,97.0
0,2006,2021.0,3,140,95.0
0,2004,2021.0,3,143,83.0
0,2021,2021.0,1,149,103.0
1,2021,2021.0,1,119,6.0
1,2014,2021.0,2,129,1.0
1,1994,2021.0,2,153,9.0
0,2021,2021.0,3,148,113.0
1,2015,2021.0,2,129,1.0
1,2021,2021.0,3,150,1.0
0,2021,2021.0,1,138,13.0
1,2021,2021.0,3,145,5.0
0,2018,2021.0,2,151,182.0
1,2021,2021.0,1,148,2.0
0,2021,2021.0,1,147,106.0
1,2013,2021.0,2,148,1.0
0,2021,2021.0,2,152,48.0
0,2020,2021.0,3,143,145.0
0,2021,2021.0,3,143,145.0
0,2021,2021.0,1,147,93.0
0,2021,2021.0,1,151,106.0
1,2021,2021.0,3,147,6.0
1,2021,2021.0,1,149,1.0
0,2020,2021.0,3,150,147.0
1,2021,2021.0,2,152,1.0
0,2021,2021.0,2,122,87.0
1,2019,2021.0,2,131,2.0
0,2021,2021.0,2,147,96.0
1,2017,2021.0,1,149,4.0
0,2019,2021.0,2,147,95.0
0,2021,2021.0,2,142,92.0
1,2021,2021.0,3,144,2.0
0,2021,2021.0,3,152,91.0
0,2018,2021.0,2,147,90.0
1,2021,2021.0,1,150,3.0
0,2018,2021.0,2,149,97.0
1,2021,2021.0,3,151,2.0
1,2021,2021.0,2,152,1.0
1,2021,2021.0,2,148,1.0
1,2019,2021.0,1,143,2.0
0,2021,2021.0,2,152,80.0
1,2021,2021.0,2,150,1.0
0,2020,2021.0,3,140,117.0
1,2016,2021.0,2,141,2.0
0,2017,2021.0,3,146,128.0
1,2021,2021.0,2,147,5.0
0,2018,2021.0,2,140,90.0
1,2021,2021.0,3,152,1.0
1,2021,2021.0,3,145,5.0
1,2021,2021.0,3,151,1.0
1,2021,2021.0,1,153,1.0
0,2021,2021.0,1,152,119.0
0,2021,2021.0,2,153,110.0
0,1994,2021.0,3,150,143.0
0,2009,2021.0,2,148,119.0
0,2015,2021.0,3,146,114.0
0,2021,2021.0,1,147,94.0
0,2017,2021.0,3,146,106.0
0,2020,2021.0,3,146,99.0
1,2021,2021.0,2,149,1.0
1,2019,2021.0,3,139,1.0
0,2003,2021.0,1,149,118.0
1,2012,2021.0,1,143,1.0
1,2013,2021.0,2,148,3.0
1,2021,2021.0,3,152,1.0
0,2020,2021.0,3,123,115.0
0,2004,2021.0,2,144,95.0
0,2017,2021.0,3,130,115.0
0,2005,2021.0,1,130,108.0
0,2021,2021.0,2,133,63.0
0,1982,2021.0,3,137,117.0
1,2021,2021.0,3,149,1.0
0,2015,2021.0,2,153,121.0
0,1994,2021.0,2,150,142.0
0,1993,2021.0,1,145,113.0
0,2003,2021.0,2,150,154.0
0,2001,2021.0,2,136,95.0
0,2010,2021.0,2,152,108.0
0,1989,2021.0,3,135,120.0
0,2014,2021.0,3,150,100.0
0,2015,2021.0,1,143,82.0
0,2007,2021.0,1,147,124.0
0,2011,2021.0,2,151,114.0
0,1990,2021.0,2,139,104.0
0,1991,2021.0,3,152,94.0
0,1994,2021.0,2,145,94.0
1,2021,2021.0,1,148,1.0
1,2020,2021.0,1,142,1.0
0,1998,2021.0,2,150,93.0
0,1999,2021.0,1,150,97.0
0,2005,2021.0,2,133,109.0
0,2016,2021.0,1,144,88.0
1,2016,2021.0,1,149,2.0
1,2015,2021.0,3,138,3.0
0,1986,2021.0,3,140,101.0
0,2010,2021.0,3,148,105.0
0,2018,2021.0,2,149,102.0
0,2003,2021.0,2,121,101.0
0,2010,2021.0,3,154,103.0
1,1992,2021.0,1,146,4.0
0,1996,2021.0,3,148,106.0
0,2017,2021.0,1,147,118.0
0,2003,2021.0,2,148,86.0
0,1999,2021.0,2,127,121.0
1,2019,2021.0,3,140,1.0
0,1984,2021.0,2,144,229.0
0,2008,2021.0,2,140,76.0
0,2001,2021.0,3,150,95.0
0,2006,2021.0,2,150,98.0
0,1997,2021.0,2,140,89.0
0,2017,2021.0,2,139,120.0
0,2003,2021.0,2,150,110.0
0,2015,2021.0,2,146,83.0
0,2003,2021.0,2,140,121.0
0,1980,2021.0,2,146,105.0
0,1986,2021.0,2,132,94.0
0,1961,2021.0,2,133,156.0
0,2014,2021.0,2,152,112.0
0,1996,2021.0,2,151,95.0
0,2000,2021.0,2,146,107.0
1,2021,2021.0,1,144,1.0
0,2008,2021.0,1,147,114.0
0,1993,2021.0,2,144,129.0
1,2021,2021.0,1,148,1.0
0,2021,2021.0,2,155,86.0
1,2021,2021.0,3,149,1.0
1,2021,2021.0,2,123,1.0
0,2008,2021.0,2,150,97.0
1,2020,2021.0,2,141,2.0
0,2021,2021.0,2,147,125.0
0,2017,2021.0,2,150,107.0
0,2008,2021.0,3,144,127.0
1,2021,2021.0,2,143,1.0
1,2002,2021.0,3,151,1.0
0,2008,2021.0,3,127,128.0
0,2021,2021.0,2,153,92.0
1,2021,2021.0,2,150,1.0
1,2021,2021.0,3,130,1.0
0,2006,2021.0,3,145,135.0
0,2004,2021.0,3,115,124.0
0,2003,2021.0,3,146,136.0
0,2005,2021.0,3,137,165.0
0,2016,2021.0,2,147,124.0
0,2012,2021.0,2,138,136.0
0,2001,2021.0,3,123,150.0
0,2010,2021.0,3,125,112.0
0,2008,2021.0,3,124,119.0
0,2010,2021.0,3,142,133.0
0,2013,2021.0,3,145,142.0
0,2011,2021.0,2,142,93.0
0,2014,2021.0,2,139,113.0
1,2016,2021.0,2,133,2.0
1,2021,2021.0,2,137,3.0
0,2021,2021.0,2,153,124.0
0,2007,2021.0,3,244,116.0
0,2011,2021.0,3,146,106.0
0,2011,2021.0,3,111,145.0
1,2021,2021.0,2,149,1.0
1,2021,2021.0,2,145,1.0
1,2021,2021.0,2,146,4.0
0,2021,2021.0,1,148,93.0
1,2021,2021.0,3,143,1.0
1,2021,2021.0,3,143,1.0
1,2021,2021.0,2,150,1.0
1,2021,2021.0,3,152,1.0
1,2021,2021.0,3,149,1.0
0,2020,2021.0,3,135,95.0
0,2014,2021.0,1,148,108.0
0,2020,2021.0,1,150,90.0
0,2021,2021.0,2,140,86.0
0,2021,2021.0,2,152,92.0
1,2019,2021.0,1,146,3.0
0,2021,2021.0,2,150,82.0
1,2021,2021.0,2,153,1.0
0,2021,2021.0,3,152,70.0
0,2021,2021.0,3,153,122.0
0,2021,2021.0,3,153,122.0
0,2021,2021.0,3,153,122.0
0,2021,2021.0,3,153,122.0
0,2021,2021.0,2,151,84.0
1,2021,2021.0,3,153,3.0
1,2021,2021.0,2,155,1.0
1,2021,2021.0,3,150,1.0
0,2018,2021.0,3,122,96.0
1,2021,2021.0,2,152,1.0
0,2021,2021.0,3,133,115.0
0,2021,2021.0,2,138,110.0
1,2021,2021.0,2,153,1.0
0,2021,2021.0,3,149,88.0
0,2020,2021.0,3,150,102.0
0,2011,2021.0,3,149,91.0
0,2021,2021.0,2,139,105.0
0,1995,2021.0,3,132,135.0
1,2021,2021.0,1,139,5.0
0,2021,2021.0,2,130,86.0
0,2020,2021.0,2,150,140.0
0,2015,2021.0,3,147,133.0
0,2020,2021.0,3,149,92.0
0,2018,2021.0,3,140,82.0
1,2020,2021.0,3,151,1.0
0,2021,2021.0,3,143,97.0
0,2021,2021.0,3,153,78.0
1,2016,2021.0,1,141,2.0
0,2014,2021.0,2,147,94.0
1,2018,2021.0,3,147,1.0
1,2020,2021.0,2,131,1.0
0,1993,2021.0,3,137,121.0
0,2020,2021.0,2,144,97.0
1,2015,2021.0,1,145,2.0
0,2021,2021.0,1,152,110.0
1,2021,2021.0,3,149,1.0
1,2021,2021.0,1,152,5.0
1,2021,2021.0,3,146,1.0
1,2021,2021.0,2,151,7.0
1,2021,2021.0,3,152,1.0
1,2021,2021.0,3,152,2.0
1,2021,2021.0,3,128,1.0
0,2021,2021.0,1,151,64.0
0,2021,2021.0,3,148,59.0
1,2021,2021.0,1,145,1.0
0,2016,2021.0,2,150,101.0
0,2020,2021.0,3,146,127.0
0,2021,2021.0,2,142,90.0
0,2021,2021.0,2,151,114.0
0,2013,2021.0,2,143,108.0
1,2021,2021.0,1,153,2.0
1,2021,2021.0,3,143,1.0
1,2018,2021.0,3,137,1.0
1,2019,2021.0,3,148,1.0
0,2021,2021.0,2,149,70.0
1,2021,2021.0,2,145,1.0
0,2012,2021.0,3,127,98.0
0,2021,2021.0,3,150,86.0
0,2020,2021.0,2,139,139.0
0,2021,2021.0,2,150,111.0
1,2021,2021.0,3,152,1.0
1,2021,2021.0,1,112,1.0
0,2020,2021.0,3,147,115.0
0,2021,2021.0,3,141,102.0
0,2021,2021.0,2,126,100.0
0,2013,2021.0,3,140,135.0
0,2013,2021.0,2,149,69.0
0,1985,2021.0,3,136,95.0
0,2021,2021.0,1,146,97.0
0,1993,2021.0,3,129,124.0
0,2016,2021.0,2,147,118.0
0,2021,2021.0,1,153,115.0
0,2012,2021.0,1,142,115.0
1,2021,2021.0,1,144,3.0
1,2021,2021.0,2,151,1.0
1,2021,2021.0,3,152,2.0
1,2021,2021.0,1,150,1.0
1,2009,2021.0,3,134,1.0
0,1995,2021.0,3,138,104.0
0,2010,2021.0,2,145,106.0
1,2011,2021.0,3,150,1.0
0,2021,2021.0,2,154,102.0
0,2021,2021.0,2,142,97.0
1,2005,2021.0,3,147,1.0
1,2021,2021.0,1,142,1.0
1,2013,2021.0,3,144,1.0
1,2008,2021.0,3,150,1.0
1,2012,2021.0,1,146,7.0
1,2020,2021.0,1,98,3.0
0,1992,2021.0,2,147,87.0
0,1993,2021.0,2,137,88.0
0,2007,2021.0,2,137,114.0
0,2016,2021.0,1,147,90.0
0,2002,2021.0,1,149,142.0
0,2009,2021.0,3,149,90.0
1,2020,2021.0,3,147,1.0
0,1999,2021.0,3,147,105.0
0,1986,2021.0,3,151,103.0
0,2019,2021.0,2,125,116.0
0,2006,2021.0,2,149,113.0
1,2010,2021.0,2,150,5.0
0,2007,2021.0,2,148,99.0
1,2014,2021.0,2,140,6.0
0,2021,2021.0,3,127,96.0
0,2010,2021.0,3,151,148.0
0,1999,2021.0,2,153,189.0
0,1995,2021.0,1,136,97.0
0,1991,2021.0,1,148,102.0
0,1994,2021.0,3,149,99.0
0,2015,2021.0,2,129,85.0
0,2008,2021.0,2,145,112.0
0,2009,2021.0,3,145,91.0
0,2019,2021.0,1,142,91.0
0,2003,2021.0,2,142,141.0
0,2000,2021.0,3,142,130.0
0,2004,2021.0,3,127,98.0
0,2016,2021.0,2,148,105.0
0,2013,2021.0,1,146,101.0
0,1991,2021.0,2,143,105.0
0,2011,2021.0,2,148,118.0
0,2010,2021.0,1,149,97.0
0,2004,2021.0,3,148,102.0
0,1995,2021.0,1,150,114.0
0,2000,2021.0,1,142,111.0
0,2010,2021.0,2,149,125.0
1,2021,2021.0,2,151,3.0
0,2018,2021.0,2,148,76.0
0,2021,2021.0,3,146,118.0
1,2021,2021.0,2,151,1.0
0,2014,2021.0,3,135,103.0
1,2021,2021.0,3,137,3.0
0,2020,2021.0,2,141,114.0
1,2009,2021.0,2,150,1.0
1,2021,2021.0,3,151,1.0
1,2021,2021.0,3,150,2.0
0,2009,2021.0,3,153,95.0
0,2021,2021.0,2,151,138.0
0,2021,2021.0,3,151,112.0
0,2013,2021.0,3,150,94.0
0,2021,2021.0,2,148,102.0
1,2021,2021.0,1,133,1.0
0,2021,2021.0,2,152,92.0
0,2019,2021.0,1,135,81.0
1,2021,2021.0,1,152,1.0
1,2021,2021.0,3,148,7.0
1,2021,2021.0,3,152,1.0
1,2021,2021.0,2,147,3.0
0,2012,2021.0,2,149,143.0
0,2021,2021.0,1,152,86.0
1,2021,2021.0,3,139,3.0
1,2021,2021.0,1,146,4.0
0,2021,2021.0,3,151,132.0
1,2021,2021.0,2,124,1.0
0,2019,2021.0,3,133,117.0
1,2019,2021.0,3,137,10.0
1,2020,2021.0,3,140,4.0
0,2012,2021.0,2,139,165.0
0,2021,2021.0,2,149,91.0
0,2021,2021.0,3,147,97.0
0,2021,2021.0,2,144,97.0
0,2021,2021.0,3,152,123.0
1,2021,2021.0,3,135,1.0
0,2021,2021.0,3,144,94.0
1,2021,2021.0,2,148,1.0
1,2021,2021.0,2,152,1.0
1,2021,2021.0,3,124,2.0
0,2021,2021.0,2,151,111.0
1,2021,2021.0,1,144,2.0
0,2021,2021.0,1,152,85.0
0,2015,2021.0,1,147,65.0
0,2013,2021.0,1,134,64.0
0,2009,2021.0,1,129,68.0
0,2011,2021.0,1,149,67.0
0,2010,2021.0,1,144,66.0
0,2013,2021.0,1,152,64.0
0,2013,2021.0,1,141,64.0
0,2013,2021.0,1,149,65.0
0,2013,2021.0,1,114,64.0
0,2012,2021.0,1,146,68.0
0,2009,2021.0,1,143,68.0
0,2013,2021.0,1,142,64.0
0,2015,2021.0,1,152,62.0
0,2019,2021.0,1,146,63.0
0,2010,2021.0,2,134,69.0
0,2012,2021.0,1,143,70.0
0,2014,2021.0,1,136,63.0
0,2011,2021.0,1,145,68.0
0,2011,2021.0,1,148,74.0
0,2012,2021.0,1,133,68.0
1,2019,2021.0,1,149,5.0
0,2021,2021.0,1,145,99.0
0,2019,2021.0,2,151,90.0
0,2021,2021.0,3,150,87.0
0,2020,2021.0,3,145,105.0
1,2021,2021.0,3,147,1.0
1,2021,2021.0,3,143,1.0
0,2021,2021.0,1,151,106.0
0,2020,2021.0,3,145,102.0
1,2020,2021.0,3,146,1.0
1,2019,2021.0,3,142,1.0
0,2021,2021.0,3,149,91.0
0,2021,2021.0,1,139,88.0
0,2020,2021.0,3,146,107.0
0,2021,2021.0,3,151,101.0
1,2021,2021.0,2,147,3.0
0,2021,2021.0,2,135,114.0
1,2021,2021.0,2,145,1.0
0,1999,2021.0,2,132,123.0
1,2021,2021.0,1,152,1.0
0,2017,2021.0,3,149,94.0
0,2017,2021.0,1,151,105.0
0,2011,2021.0,2,121,117.0
0,2012,2021.0,2,141,115.0
0,2010,2021.0,2,143,124.0
0,2009,2021.0,2,142,131.0
0,2008,2021.0,3,150,122.0
0,2021,2021.0,3,121,113.0
1,2021,2021.0,2,146,2.0
0,1983,2021.0,2,153,91.0
0,2021,2021.0,3,152,100.0
1,2019,2021.0,3,128,1.0
0,2021,2021.0,3,146,93.0
0,2021,2021.0,3,132,90.0
1,2021,2021.0,3,151,2.0
0,2007,2021.0,3,153,86.0
0,2019,2021.0,3,146,100.0
0,2019,2021.0,1,131,96.0
0,2021,2021.0,2,151,95.0
0,2021,2021.0,2,146,115.0
1,2021,2021.0,2,145,1.0
1,2021,2021.0,1,143,1.0
0,2021,2021.0,2,151,100.0
0,2021,2021.0,3,149,102.0
0,2019,2021.0,2,147,87.0
0,2021,2021.0,1,152,39.0
0,2021,2021.0,3,145,110.0
1,2021,2021.0,1,151,1.0
0,2020,2021.0,2,145,93.0
0,2015,2021.0,2,146,96.0
0,2019,2021.0,1,114,93.0
0,2016,2021.0,3,148,93.0
1,2021,2021.0,3,144,4.0
1,2021,2021.0,3,151,2.0
0,2021,2021.0,1,144,111.0
0,2020,2021.0,3,143,105.0
0,2021,2021.0,3,146,101.0
1,2021,2021.0,1,151,1.0
0,2021,2021.0,3,135,102.0
0,2021,2021.0,1,147,46.0
0,2021,2021.0,1,148,89.0
